Dataset_ID	Accession	Curated_by	Overexpression(OE)_Knockout(KO)_Knockdown(KD)_Other-gene-modulation(OM)_Drug(D)_None(N)_Gene-and-Drug(GD)	Sample_annotation(G=sample_id,T=Term)	Control_samples	Perturbed_samples	Comparison_Requirements	Input_Term	Testing_Condition	Perturbagen_terms	Comments
200232343	GSE232343	Cole	N								
200131792	GSE131792	Cole	N								
200220013	GSE220013	Cole	D	T		total				dexamethasone	No control samples in this series
200171872	GSE171872	Cole	OE	G	GSM5235975	GSM5235976				DTR	Diphtheria toxin receptor transgene, not overexpression of a normal gene
200115048	GSE115048	Cole	N								
200249225	GSE249225	Cole	N								
200221587	GSE221587	Cole	KO	T	control	knockout;heterozygous				Trip12	There were two tissue types. There were both full knockout and heterozygous samples, which might not be ideal to conflate.
200079774	GSE79774	Cole	D	T	ctrl	GSI				GSI	Gamma-secretase inhibitor
200153791	GSE153791	Cole	KO	T	WT	KO				SAPAP3;Sapap3	
200197989	GSE197989	Cole	KO	T	Vector	KO				HDAC3	
200088279	GSE88279	Bess	KD	T		shRNA				TIAL1	No control .
200262368	GSE262368	Bess	KO	T	WT	KO				MYT1L	
200262368	GSE262368	Bess	KO	T	WT	Het				MYT1L	There were 3 genotypes, also male/female samples.
200192548	GSE192548	Bess	KD	T	siNT	OVOL2				MCF10A	
200192548	GSE192548	Bess	KD	T	siNT	OVOL1				MCF10A	There were 2 different proteins.
200167283	GSE167283	Bess	KO	T	Ctrl	FOXD2KO				Foxd2;FOX2D	
200167283	GSE167283	Bess	KO	T	Ctrl	SATB2KO				Satb2;SATB2	There were 3 genotypes.
200109257	GSE109257	Bess	KO	T	Control	KO				Nrf2	
200104590	GSE104590	Bess	N								
200099042	GSE99042	Bess	N								
200035857	GSE35857	Bess	KO	T	WT	Rag2				EBF1	There is a confounding variable- the KO samples were pro-B and the WT samples were mature B.
200035857	GSE35857	Bess	KO	T	WT	RNA-seq				EBF1	
200120596	GSE120596	Bess	D	T	drug treatment: Placebo	drug treatment: ibuprofen sodium			post-surgery_1	Ibuprofen;ibuprofen sodium	
200120596	GSE120596	Bess	D	T	drug treatment: Placebo	drug treatment: ibuprofen sodium			post-surgery_2	Ibuprofen;ibuprofen sodium	
200120596	GSE120596	Bess	D	T	drug treatment: ibuprofen sodium	drug treatment: ibuprofen sodium			post-surgery_1	Ibuprofen;ibuprofen sodium	
200120596	GSE120596	Bess	D	T	drug treatment: ibuprofen sodium	drug treatment: ibuprofen sodium			post-surgery_2	Ibuprofen;ibuprofen sodium	There were 2 treatments, results taken both 1 and 2 days post-op.
200232184	GSE232184	Bess	N								
200221579	GSE221579	Bess	N								
200100183	GSE100183	Bess	KD	T	shScr	EP400-2				EP400	
200100183	GSE100183	Bess	KD	T	shScr	EP400-3				EP400	
200100183	GSE100183	Bess	KD	T	shScr	shMYCL				MYCL	
200243600	GSE243600	Bess	KD	T	Liver, -6A, Basal	Liver, -6A, High Salt				hAGT;human AGT	
200243600	GSE243600	Bess	KD	T	Kidney, -6A, Basal	Kidney, -6A, High Salt				hAGT;human AGT	The experiement was done on both RNA from the liver and kidney.
200233443	GSE233443	Bess	KO	T	WT	KO				GATA	
200155918	GSE155918	Bess	D	T	NC	LPS	time points:;Sex:			LPS;lipopolysaccharide	
200155918	GSE155918	Bess	D	T	NC	GARD				GARD;gardiquimod	There are many variables: m/f, # of time points, treatment given.
200149390	GSE149390	Bess	KO	T	Ctrl	RAD6BKO				RAD6B	
200079412	GSE79412	Bess	KD	T	AM	AR				FPS1&FPS2	Dual Perturbation.
200155203	GSE155203	Bess	KO	T	WT	KO				NSUN6	
200124286	GSE124286	Bess	N								
200089211	GSE89211	Bess	KO	T	WT	EED				EED	
200089211	GSE89211	Bess	KO	T	WT	Lhx5				Lhx5	
200089211	GSE89211	Bess	KO	T	WT	Sox1				Sox1	There were multiple genes knocked out.
200100861	GSE100861	Bess	KO	T	control 	KO				Lats1&Lats2	Dual Perturbation.
200067310	GSE67310	Bess	N								
200197862	GSE197862	Bess	OE	T	miR-Control	Pro-miR				miR-148a	
200162389	GSE162389	Bess	KO	T	NT	PMX				C5aR1	
200162389	GSE162389	Bess	KO	T	NT	JEP				C5aR1	There were 2 treatments, 1 was cell permeable and the other was not.
200060571	GSE60571	Bess	N								
200218242	GSE218242	Bess	N							 	
200151761	GSE151761	Bess	N								
200159596	GSE159596	Bess	N								There is a separate file indicating which study is which. 
200104134	GSE104134	Bess	D	T		_tension				DMSO	
200104134	GSE104134	Bess	D	T		no_tension				nocodazole;benomyl	There was no control.
200100312	GSE100312	Bess	KO	T	Ctrl	KO				HPIP	
200100312	GSE100312	Bess	KO	T	Input	ChIPseq				HPIP	
200112580	GSE112580	Bess	KD	T	Bcwt	lae1				lae1	
200112580	GSE112580	Bess	KD	T	Bcwt	vel1*				vel1	
200101519	GSE101519	Bess	N								The cells themselves were not being treated with the additives.
200140645	GSE140645	Bess	KO	T	WT_FL_MAC	HZ_MP				c-Maf&MafB	Dual Perturbation
200140645	GSE140645	Bess	KO	T		HZ_MO				c-Maf&MafB	This sample was not appropriately controlled; there is also a dual perturbation.
200161764	GSE161764	Bess	D	G	GSM4914153;GSM4914154	GSM4914155;GSM4914156;GSM4914157;GSM4914158;GSM4914159;GSM4914160				carrageenan;Carrageenan	
200099767	GSE99767	Bess	KO	T	SC5314_YPD_None	SC5314_YPD_Acetic				MIG1	
200099767	GSE99767	Bess	KO	T	SC5314_YPD_None	SC5314_YPD_Butyric				MIG1	
200099767	GSE99767	Bess	KO	T	Mig1_YPM_None	Mig1_YPM_Acetic				MIG1	
200099767	GSE99767	Bess	KO	T	Mig1_YPM_None	Mig1_YPM_Butyric				MIG1	
200099767	GSE99767	Bess	KO	T	SC5314_YPM_None	SC5314_YPM_Acetic				MIG1	
200099767	GSE99767	Bess	KO	T	SC5314_YPM_None	SC5314_YPM_Butyric				MIG1	
200099767	GSE99767	Bess	KO	T	Mig1_YPD_None	Mig1_YPD_Acetic				MIG1	
200099767	GSE99767	Bess	KO	T	Mig1_YPD_None	Mig1_YPD_Butyric				MIG1	There are 3 variables: genotype (SC51314/Mig1), Media: YPM/YPD, Treatment (none/Acetic/Butyric)
200234507	GSE234507	Bess	KO	T	control 	KO				Abca1;ABCA1&Abcg1;ABCG1	Dual Perturbation
200136358	GSE136358	Bess	N								
200186745	GSE186745	Bess	KO	T	MIGR1	dChaf1b				CAF-1	
200217703	GSE217703	Bess	N								
200219609	GSE219609	Bess	KO	T		K562				K562	There was no control.
200248721	GSE248721	Bess	KO	T	WT	N1KO				NR1D1	
200248721	GSE248721	Bess	KO	T	WT 	N2KO				NR2D2	
200248721	GSE248721	Bess	KO	T	WT	NdKO				NR1D1&NRD2	Dual Perturbation
200190384	GSE190384	Bess	D	G	GSM5721055;GSM5721056;GSM5721057;GSM5721058;GSM5721059	GSM5721065;GSM5721066;GSM5721067;GSM5721068;GSM5721069				Elacestrant;elacestrant	
200190384	GSE190384	Bess	D	G	GSM5721055;GSM5721056;GSM5721057;GSM5721058;GSM5721059	GSM5721060;GSM5721061;GSM5721062;GSM5721063;GSM5721064				fulvestrant	
200190384	GSE190384	Bess	D	T	WT plus e2 and elacestrant	MUT plus e2 and elacestrant				Elacestrant;elacestrant	
200190384	GSE190384	Bess	D	T	WT plus e2 and fulvestrant	MUT plus e2 and fulvestrant				fulvestrant	Both drugs were tested on MCF7 cells and mutated MCF7 cells
200053779	GSE53779	Bess	OM	T	WT	MUT3				RBM47	
200053779	GSE53779	Bess	OM	T	WT	MUT3				doxycycline	RBM47 KO induced by doxycycline.
200263138	GSE263138	Bess	KO	T	WT	KO				HDAC6;Histone deacetylase 6	
200263138	GSE263138	Bess	OM	T	WT	KY				HDAC6;Histone deacetylase 6	The gene was both knocked out and mutated by CRISPR-Cas9
200101544	GSE101544	Bess	OM	T	wild type	mutant				pde6c	RNA was extracted from a pde6c mutant.
200249150	GSE249150	Bess	OE	T	control-R	RORA-OE				RORA	
200249150	GSE249150	Bess	OE	T	control-P	PITX1-OE				PITX1	
200249150	GSE249150	Bess	OE	T	control_H3K27AC	RORA_H3K27ac				RORA	
200249150	GSE249150	Bess	OE	T	control_H3K27me3	RORA_H3K27me3				RORA	There were 2 different ChIP-seqs for RORA-overexpressed LSCs.
200249150	GSE249150	Bess	OE	T	control_capture	RORA_OE				RORA	
200073436	GSE73436	Bess	OE	T	Wild-type	Knock-in				AMPK	
200220049	GSE220049	Bess	KO	T	intact IL27RA	KO				IL27RA;IL-27Rα;IL-27	
200232240	GSE232240	Bess	KO	T	pre	post				PD-1&CTLA4	Dual blockade of proteins.
200190655	GSE190655	Bess	OM	T	Cre_	Sf3b1-K700E				Sf3b1	
200221710	GSE221710	Bess	KO	T	Serum_RNA	Spop_RNA				SPOP	
200221710	GSE221710	Bess	KO	T	Serum_RNA	Zbtb14_RNA				ZBTB14	
200221710	GSE221710	Bess	KO	T	Serum_RNA	Mcm3ap_RNA				MCM3AP	
200221710	GSE221710	Bess	KO	T	Serum_RNA	Kdm5c_RNA				KDM5C	
200208026	GSE208026	Bess	N								
200226646	GSE226646	Bess	D	G	GSM7080946;GSM7080947;GSM7080948;GSM7080949;GSM7080950;GSM7080951;GSM7080952	GSM7080953;GSM7080954;GSM7080955;GSM7080956;GSM7080957;GSM7080958;GSM7080959				rhuEPO	
200225992	GSE225992	Bess	OM	T	wild type	K700E				SF3B1	
200143241	GSE143241	Bess	D	T	Wild type	KO				lipopolysaccharide;LPS	Results were taken at 0 (untreated), 3, 6, and 9 hours. 
200241771	GSE241771	Bess	D	T	tibialis_aged_ctrl	tibialis_aged_CHP				Cyclo His-Pro;Cyclo Histidine-Proline;CHP	
200241771	GSE241771	Bess	D	T	heart_mdx_ctrl	heart_mdx_CHP				Cyclo His-Pro;Cyclo Histidine-Proline;CHP	
200241771	GSE241771	Bess	D	T	gastrocnemius_mdx_ctrl	gastrocnemius_mdx_CHP				Cyclo His-Pro;Cyclo Histidine-Proline;CHP	CHP was tested on 3 types of tissue.
200152664	GSE152664	Bess	N								
200150620	GSE150620	Bess	D	T	Control	Clodronate				Clodronate;clodronate	
200150620	GSE150620	Bess	D	T	Wheel_	WheelClodronate				Clodronate;clodronate	
200224038	GSE224038	Bess	D	T	Untreated	CORT				CORT;corticosteroid	
200202049	GSE202049	Bess	D	T		A				MUC5B static	
200202049	GSE202049	Bess	D	T		B				LDP static	
200202049	GSE202049	Bess	D	T		C				MUC5B with shear	
200202049	GSE202049	Bess	D	T		D 				LDP with shear	There were no controls.
200118220	GSE118220	Bess	D	T	OSKM-CBP	OSKM-D-6				CBP30	
200118220	GSE118220	Bess	D	T	H3K27ac-DMSO	H3K27ac-CBP30				CBP30	
200118220	GSE118220	Bess	D	T	H3K18ac-DMSO	H3K18ac-CBP30				CBP30	
200118220	GSE118220	Bess	D	T	H3K4me1-DMSO	H3K4me1-CBP30				CBP30	
